Country,Perc_2000,Perc_2005,Perc_2010,Perc_2015,Perc_2017,Perc_2018,Perc_2019,Perc_2020,Perc_2021,latitude,longitude
Afghanistan,,,27.3,27.7,27.7,27.7,,27,27,33.7680054,66.2385101
Albania,5.2,6.4,16.4,20.7,22.9,27.9,29.3,29.5,29.5,41.139946,20.0650768
Algeria,3.2,6.2,7.7,31.6,31.6,25.8,25.8,25.8,26,28.0000267,2.9999831
Andorra,7.1,14.3,35.7,50,32.1,32.1,32.1,46.4,46.4,42.5452995,1.5754271
Angola,15.5,15,38.6,36.8,38.2,30.5,30,30,29.6,-11.8775768,17.5691242
Antigua and Barbuda,5.3,10.5,10.5,11.1,11.1,11.1,11.1,11.1,11.1,17.0772877,-61.7992439
Argentina,28,33.7,38.5,36.2,38.9,38.9,38.8,40.9,42.4,-34.9964981,-64.9672852
Armenia,3.1,5.3,9.2,10.7,9.9,18.1,24.2,23.5,22.7,40.7696266,44.6736641
Australia,22.4,24.7,27.3,26.7,28.7,28.7,30,30.5,31.1,-25.7281036,134.4901886
Austria,26.8,33.9,27.9,30.6,30.6,34.4,37.2,39.3,39.9,47.5870705,14.1409884
Azerbaijan,10.4,10.5,11.4,15.6,16.8,16.8,16.8,16.8,18.2,40.393631,47.7872505
Bahamas,15,20,12.2,13.2,13.2,12.8,12.8,12.8,12.8,24.7736549,-78.0000534
Bahrain,,0,2.5,7.5,7.5,7.5,15,15,15,26.1551247,50.534462
Bangladesh,9.1,2,18.6,20,20.3,20.3,20.7,20.9,20.9,23.8743095,90.256279
Barbados,10.7,13.3,10,16.7,16.7,16.7,20,20,20,13.150033,-59.525032
Belarus,9.1,29.4,31.8,27.3,34.5,34.5,34.5,40,40,53.541935,28.0494633
Belgium,23.3,34.7,38,39.3,38,38,38,40.7,42,50.6409569,4.6612859
Belize,6.9,6.7,0,3.1,9.4,9.4,9.4,9.4,12.5,17.1983414,-88.7092667
Benin,6,7.2,10.8,8.4,7.2,7.2,7.2,7.2,8.4,9.5293474,2.258441
Bhutan,2,9.3,8.5,8.5,8.5,8.5,14.9,14.9,14.9,27.4143486,90.4310455
Bolivia,11.5,19.2,22.3,53.1,53.1,53.1,53.1,53.1,46.2,-17.0568695,-64.9912262
Bosnia and Herzegovina,7.1,16.7,19,21.4,21.4,21.4,21.4,21.4,26.2,44.1683044,17.7851925
Botswana,17,11.1,7.9,9.5,9.5,9.5,9.5,10.8,10.8,-23.1681786,24.5928745
Brazil,5.7,8.6,8.8,9,10.7,10.7,15,14.6,15.2,-10.333333,-53.2000008
Brunei Darussalam,,,,,9.1,9.1,9.1,9.1,9.1,4.4961309,114.6298752
Bulgaria,10.8,26.3,20.8,20.4,19.2,23.8,25.8,26.7,27.1,42.7581596,25.2350712
Burkina Faso,8.1,11.7,15.3,13.3,11,11,13.4,13.4,6.3,12.0753078,-1.688031
Burundi,6,18.4,31.4,30.5,36.4,36.4,36.4,36.4,38.2,-3.4264491,29.9324512
Cabo Verde,11.1,11.1,18.1,20.8,23.6,23.6,23.6,25,26.4,15.083539,-23.6246681
Cambodia,8.2,9.8,21.1,20.3,20.3,20.3,20,20,21.6,12.7115402,104.9175644
Cameroon,5.6,8.9,13.9,31.1,31.1,31.1,31.1,31.1,33.9,4.6125522,13.1535807
Canada,20.6,21.1,22.1,25.2,26.3,27,26.9,29,29.6,62.5742073,-96.6079025
Central African Republic,7.3,,9.6,,8.6,8.6,8.6,8.6,8.6,7.0323601,19.9981232
Chad,2.4,6.5,5.2,14.9,12.8,12.8,14.9,15.4,15.4,15.6134138,19.0156174
Chile,10.8,12.5,14.2,15.8,15.8,,22.6,22.6,22.6,-31.7613373,-71.3187714
China,21.8,20.2,21.3,23.6,23.7,24.2,24.9,24.9,24.9,36.5593719,103.7533493
Colombia,11.8,12,8.4,19.9,18.7,18.7,18.7,18.3,18.8,4.0999169,-72.9088135
Comoros,,3,3,,6.1,6.1,6.1,6.1,16.7,-12.2045174,44.2832947
Congo,12,8.5,7.3,7.4,7.4,11.3,11.3,11.3,11.3,-2.9814341,23.8222637
Costa Rica,19.3,35.1,36.8,33.3,35.1,35.1,45.6,45.6,45.6,9.9790068,-84.1951523
Côte d’Ivoire,8.5,8.5,8.9,9.2,11.5,10.6,11,12,11.4,7.989737,-5.567946
Croatia,0,21.7,23.5,25.8,19.9,18.5,20.5,19.2,31.1,45.1402283,16.4281349
Cuba,27.6,36,43.2,48.9,48.9,48.9,53.2,53.2,53.4,23.013134,-80.8328781
Cyprus,5.4,16.1,12.5,12.5,17.9,17.9,17.9,19.6,21.4,34.9823036,33.1451302
Czechia,15,17,15.5,19,20,22,22.5,22.5,23,49.7392387,15.3317976
Democratic People's Republic of Korea,20.1,20.1,15.6,16.3,16.3,16.3,16.3,17.6,17.6,40.1412582,127.1686783
Democratic Republic of the Congo,,12,8.4,8.9,8.9,8.9,10.3,12.8,12.8,-2.9814341,23.8222637
Denmark,37.4,38,38,38,37.4,37.4,37.4,39.7,39.7,56.0348091,9.3190603
Djibouti,0,10.8,13.8,12.7,10.8,10.8,26.2,26.2,26.2,11.8145962,42.8453064
Dominica,18.8,19.4,14.3,21.9,25,25,25,38.1,34.4,15.411314,-61.3653603
Dominican Republic,16.1,17.3,19.7,20.8,26.8,26.8,26.8,27.9,27.9,19.0974026,-70.302803
Ecuador,17.4,16,32.3,41.6,41.6,38,38,39.4,39.4,-1.339767,-79.3666992
Egypt,,,,,14.9,14.9,14.9,15.1,27.4,26.502245,29.8741188
El Salvador,16.7,10.7,19,27.4,32.1,32.1,31,33.3,33.3,13.732667,-88.8672562
Equatorial Guinea,5,18,10,24,24,20,20,21,23,1.613172,10.5170345
Eritrea,14.7,22,22,22,22,22,22,,,15.9500322,37.9999657
